invoiceID,branch,city,cust_type,gender,type,unit_price,quantity,date,time,payment,cost,rating,gross _ncome
101-17-6199,A,Cairo,Normal,Male,Food and beverages,45.79,7,3/13/2019,19:44,Credit card,320.53,7,16.0265
101-81-4070,C,Alexandria,Member,Female,Health and beauty,62.82,2,1/17/2019,12:36,eWallet,125.64,4.9,6.282
102-06-2002,C,Alexandria,Member,Male,Sports and travel,25.25,5,3/20/2019,17:52,Cash,126.25,6.1,6.3125
102-77-2261,C,Alexandria,Member,Male,Health and beauty,65.31,7,3/5/2019,18:02,Credit card,457.17,4.2,22.8585
105-10-6182,A,Cairo,Member,Male,Fashion accessories,21.48,2,2/27/2019,12:22,eWallet,42.96,6.6,2.148
105-31-1824,A,Cairo,Member,Male,Sports and travel,69.52,7,2/1/2019,15:10,Credit card,486.64,8.5,24.332
106-35-6779,A,Cairo,Member,Male,Home and lifestyle,44.34,2,3/27/2019,11:26,Cash,88.68,5.8,4.434
109-28-2512,B,Ismailia,Member,Female,Fashion accessories,97.61,6,1/7/2019,15:01,eWallet,585.66,9.9,29.283
109-86-4363,B,Ismailia,Member,Female,Sports and travel,60.08,7,2/14/2019,11:36,Credit card,420.56,4.5,21.028
110-05-6330,C,Alexandria,Normal,Female,Food and beverages,39.43,6,3/25/2019,20:18,Credit card,236.58,9.4,11.829
110-48-7033,B,Ismailia,Member,Male,Fashion accessories,32.62,4,1/29/2019,14:12,Cash,130.48,9,6.524
114-35-5271,B,Ismailia,Normal,Female,Electronic accessories,57.91,8,2/7/2019,15:06,Cash,463.28,8.1,23.164
115-38-7388,C,Alexandria,Member,Female,Fashion accessories,10.18,8,3/30/2019,12:51,Credit card,81.44,9.5,4.072
115-99-4379,B,Ismailia,Member,Female,Fashion accessories,54.73,7,3/14/2019,19:02,Credit card,383.11,8.5,19.1555
118-62-1812,C,Alexandria,Member,Female,Home and lifestyle,78.38,4,3/24/2019,17:56,Cash,313.52,7.9,15.676
120-06-4233,C,Alexandria,Normal,Male,Electronic accessories,30.61,6,3/12/2019,20:36,Cash,183.66,9.3,9.183
120-54-2248,B,Ismailia,Normal,Female,Food and beverages,28.86,5,1/22/2019,18:08,Credit card,144.3,8,7.215
122-61-9553,C,Alexandria,Normal,Female,Electronic accessories,51.32,9,3/14/2019,19:33,Cash,461.88,5.6,23.094
123-19-1176,A,Cairo,Member,Male,Health and beauty,58.22,8,1/27/2019,20:33,eWallet,465.76,8.4,23.288
123-35-4896,C,Alexandria,Normal,Female,Sports and travel,46.66,9,2/17/2019,19:11,eWallet,419.94,5.3,20.997
124-31-1458,A,Cairo,Member,Female,Electronic accessories,79.59,3,1/8/2019,14:30,Cash,238.77,6.6,11.9385
125-45-2293,A,Cairo,Normal,Female,Fashion accessories,99.1,6,1/19/2019,13:11,Cash,594.6,4.2,29.73
126-54-1082,A,Cairo,Member,Female,Home and lifestyle,21.54,9,1/7/2019,11:44,Credit card,193.86,8.8,9.693
127-47-6963,A,Cairo,Normal,Male,Health and beauty,51.71,4,3/9/2019,13:53,Credit card,206.84,9.8,10.342
129-29-8530,A,Cairo,Member,Male,Sports and travel,62.62,5,3/10/2019,19:15,eWallet,313.1,7,15.655
130-67-4723,A,Cairo,Member,Male,Food and beverages,48.5,6,1/11/2019,13:57,eWallet,291,9.4,14.55
130-98-8941,C,Alexandria,Normal,Male,Fashion accessories,64.26,7,2/9/2019,10:00,Cash,449.82,5.7,22.491
131-15-8856,C,Alexandria,Member,Female,Food and beverages,72.52,8,3/30/2019,19:26,Credit card,580.16,4,29.008
131-70-8179,A,Cairo,Member,Female,Health and beauty,92.09,3,2/17/2019,16:27,Cash,276.27,4.2,13.8135
132-23-6451,A,Cairo,Member,Male,Health and beauty,20.97,5,1/4/2019,13:21,Cash,104.85,7.8,5.2425
132-32-9879,B,Ismailia,Member,Female,Electronic accessories,93.96,4,3/9/2019,18:00,Cash,375.84,9.5,18.792
133-14-7229,C,Alexandria,Normal,Male,Health and beauty,62.87,2,1/1/2019,11:43,Cash,125.74,5,6.287
133-77-3154,B,Ismailia,Member,Male,Fashion accessories,60.18,4,2/16/2019,18:04,Credit card,240.72,9.4,12.036
134-54-4720,B,Ismailia,Normal,Female,Electronic accessories,42.42,8,1/30/2019,13:58,eWallet,339.36,5.7,16.968
134-75-2619,A,Cairo,Member,Male,Electronic accessories,19.32,7,3/25/2019,18:51,Cash,135.24,6.9,6.762
135-13-8269,B,Ismailia,Member,Female,Food and beverages,78.88,2,1/26/2019,16:04,Cash,157.76,9.1,7.888
